;Unnamed: 0;momentum;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
0;0;0.9;0.1;64.0;1.4666136503219604;0.5986038446426392;1.347724676132202;0.6422338485717773;1.6127921342849731;0.6108202338218689;50.0;50.0;50.0;0.01
1;1;0.9;0.1;64.0;1.2529686689376829;0.7050610780715942;1.4093077182769775;0.6823734641075134;1.5102324485778809;0.6300174593925476;100.0;100.0;100.0;0.01
2;2;0.9;0.1;64.0;1.5120929479599;0.6806282997131348;1.3748321533203125;0.6771378517150879;1.6435835361480713;0.6422338485717773;150.0;150.0;150.0;0.01
0;0;0.9;0.1;64.0;2.995131731033325;0.6544502377510071;2.525897264480591;0.6753926873207092;2.5347728729248047;0.6910994648933411;100.0;100.0;100.0;0.001
1;1;0.9;0.1;64.0;1.80178701877594;0.7050610780715942;1.5963743925094604;0.7207679152488708;1.8748692274093628;0.6561954617500305;150.0;150.0;150.0;0.001
2;2;0.9;0.1;64.0;1.8589640855789185;0.6928446888923645;1.7353760004043581;0.7225130796432495;1.9662923812866209;0.661431074142456;50.0;50.0;50.0;0.0001
3;3;0.9;0.1;64.0;2.472548484802246;0.687609076499939;2.218520402908325;0.6788830757141113;2.7874014377593994;0.6055846214294434;100.0;100.0;100.0;0.0001
4;4;0.9;0.1;64.0;2.3807408809661865;0.7068063020706177;2.6185927391052246;0.6684118509292603;2.7139647006988525;0.6841186881065369;150.0;150.0;150.0;0.0001
5;5;0.9;0.1;128.0;1.7743408679962158;0.5916230082511902;2.4515864849090576;0.4956369996070862;1.91067373752594;0.6003490686416626;50.0;50.0;50.0;0.01
0;0;0.9;0.1;128.0;13.07695770263672;0.3280977308750153;1.569885015487671;0.6631762385368347;1.3744301795959473;0.6631762385368347;100.0;100.0;100.0;0.01
1;1;0.9;0.1;128.0;1.945464849472046;0.5375218391418457;2.8255271911621094;0.4380453824996948;1.884365558624268;0.5636998414993286;150.0;150.0;150.0;0.01
2;2;0.9;0.1;128.0;6.543055534362793;0.6457242369651794;6.320549488067628;0.6666666865348816;7.92954158782959;0.415357768535614;50.0;50.0;50.0;0.001
3;3;0.9;0.1;128.0;4.460078239440918;0.6928446888923645;4.754751205444336;0.657940685749054;4.521614074707031;0.6561954617500305;100.0;100.0;100.0;0.001
4;4;0.9;0.1;128.0;3.2941129207611084;0.7207679152488708;3.413599729537964;0.6719022393226624;3.49758243560791;0.6631762385368347;150.0;150.0;150.0;0.001
0;0;0.9;0.1;128.0;2.110348463058472;0.6422338485717773;1.8987817764282229;0.5916230082511902;3.8617980480194087;0.5043630003929138;50.0;50.0;50.0;0.0001
1;1;0.9;0.1;128.0;2.5286576747894287;0.650959849357605;3.1330811977386475;0.584642231464386;2.255164623260498;0.7085514664649963;100.0;100.0;100.0;0.0001
2;2;0.9;0.1;128.0;2.3001914024353027;0.6998254656791687;2.6220192909240723;0.657940685749054;2.522160291671753;0.657940685749054;150.0;150.0;150.0;0.0001
3;3;0.9;0.1;256.0;7.538894653320312;0.6998254656791687;7.901010036468506;0.5148342251777649;7.830405235290527;0.4973821938037872;50.0;50.0;50.0;0.01
4;4;0.9;0.1;256.0;1.9595855474472048;0.62129145860672;1.9195594787597656;0.5671902298927307;2.228332757949829;0.5375218391418457;100.0;100.0;100.0;0.01
0;0;0.9;0.1;256.0;1.647877216339111;0.5776614546775818;1.351547122001648;0.6527050733566284;1.2662138938903809;0.7085514664649963;150.0;150.0;150.0;0.01
1;1;0.9;0.1;256.0;7.860574722290039;0.661431074142456;8.219718933105469;0.479930192232132;8.050173759460451;0.5741710066795349;50.0;50.0;50.0;0.001
2;2;0.9;0.1;256.0;6.433883666992188;0.6858638525009155;6.978748798370361;0.554973840713501;6.428600788116455;0.6928446888923645;100.0;100.0;100.0;0.001
3;3;0.9;0.1;256.0;5.338797569274902;0.6963350772857666;5.803126811981201;0.5933682322502136;5.315247058868408;0.6719022393226624;150.0;150.0;150.0;0.001
4;4;0.9;0.1;256.0;1.725277304649353;0.6527050733566284;1.6262925863265991;0.6823734641075134;1.8412024974823;0.5951134562492371;50.0;50.0;50.0;0.0001
0;0;0.9;0.1;256.0;2.1066026687622066;0.6701570749282837;2.867145776748657;0.5706806182861328;1.9655807018280032;0.661431074142456;100.0;100.0;100.0;0.0001
1;1;0.9;0.1;256.0;2.299010992050171;0.6771378517150879;2.0816473960876465;0.6910994648933411;2.190518856048584;0.6910994648933411;150.0;150.0;150.0;0.0001
2;2;0.9;0.01;64.0;32.331676483154304;0.4171029627323151;32.216720581054695;0.5689354538917542;32.87362289428711;0.2844677269458771;50.0;50.0;50.0;0.01
3;3;0.9;0.01;64.0;11.838848114013672;0.6160558462142944;12.149335861206055;0.547993004322052;12.110515594482422;0.5532286167144775;100.0;100.0;100.0;0.01
4;4;0.9;0.01;64.0;5.221229076385498;0.6474694609642029;4.973198413848877;0.7050610780715942;5.06650972366333;0.657940685749054;150.0;150.0;150.0;0.01
0;0;0.9;0.01;64.0;9.119912147521973;0.5863874554634094;9.163983345031738;0.4467713832855225;9.170900344848633;0.5235602259635925;50.0;50.0;50.0;0.001
1;1;0.9;0.01;64.0;8.26365852355957;0.6247818470001221;8.239522933959961;0.5689354538917542;8.104971885681152;0.6527050733566284;100.0;100.0;100.0;0.001
2;2;0.9;0.01;64.0;7.581589698791504;0.6561954617500305;7.749809741973878;0.650959849357605;7.863485813140869;0.6561954617500305;150.0;150.0;150.0;0.001
3;3;0.9;0.01;64.0;2.0075533390045166;0.452006995677948;1.9575704336166384;0.4851658046245575;2.0233030319213867;0.4869109988212586;50.0;50.0;50.0;0.0001
4;4;0.9;0.01;64.0;1.8259445428848269;0.6178010702133179;1.7789061069488523;0.6492146849632263;1.8614547252655032;0.6125654578208923;100.0;100.0;100.0;0.0001
0;0;0.9;0.01;64.0;2.1385393142700195;0.614310622215271;2.4844295978546143;0.6317626237869263;1.9737740755081177;0.6561954617500305;150.0;150.0;150.0;0.0001
1;1;0.9;0.01;128.0;54.90549087524414;0.4694589972496033;54.567543029785156;0.5148342251777649;54.5302848815918;0.4746945798397064;50.0;50.0;50.0;0.01
2;2;0.9;0.01;128.0;32.96692657470703;0.4554973840713501;32.92007827758789;0.4781849980354309;34.443675994873054;0.2652705013751984;100.0;100.0;100.0;0.01
3;3;0.9;0.01;128.0;19.98613929748535;0.5671902298927307;19.850404739379886;0.5828970074653625;19.999853134155273;0.5287958383560181;150.0;150.0;150.0;0.01
4;4;0.9;0.01;128.0;9.655309677124023;0.4607329964637756;9.646859169006348;0.4851658046245575;9.70357608795166;0.4572425782680512;50.0;50.0;50.0;0.001
